0.01 MB  7743dcad0000-7743dcad2000 r--p 00006000 103:02 27012968 /usr/lib/x86_64-linux-gnu/libxcb-xfixes.so.0.0.0
0.01 MB  7743dcaa3000-7743dcaa5000 r--p 0000d000 103:02 27012929 /usr/lib/x86_64-linux-gnu/libwayland-client.so.0.22.0
0.01 MB  7743dca8a000-7743dca8c000 r--p 00000000 103:02 27012431 /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
0.01 MB  7743dca6d000-7743dca70000 rw-p 00000000 00:00 0
0.01 MB  7743db9fd000-7743db9ff000 r--p 0002b000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.01 MB  7743db97e000-7743db980000 r--p 00033000 103:02 27012407 /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
0.01 MB  7743ce14a000-7743ce151000 rw-p 00000000 00:00 0
0.01 MB  7743cd534000-7743cd537000 rw-p 00000000 00:00 0
0.01 MB  7743c99ff000-7743ca1ff000 rw-p 00000000 00:00 0
0.01 MB  7743c89fd000-7743c91fd000 rw-p 00000000 00:00 0
0.01 MB  7743c4000000-7743c4021000 rw-p 00000000 00:00 0
0.00 MB  7743dd911000-7743dd912000 r--p 00000000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.00 MB  7743dd906000-7743dd907000 rw-p 00003000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7743dd905000-7743dd906000 r--p 00002000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7743dd904000-7743dd905000 r--p 00002000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7743dd903000-7743dd904000 r-xp 00001000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7743dd902000-7743dd903000 r--p 00000000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7743dd8fa000-7743dd8fb000 rw-p 00005000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
