0.01 MB  727ceae77000-727ceae7a000 r--p 00000000 103:02 27017142 /usr/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so
0.01 MB  727ceae6a000-727ceae6d000 rw-p 01069000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.01 MB  727ce9dfc000-727ce9dff000 rw-p 00173000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.01 MB  727ce9c7a000-727ce9c7e000 rw-p 00000000 00:00 0
0.01 MB  727ce9c77000-727ce9c7a000 rw-p 00276000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.01 MB  727ce9960000-727ce9963000 r--p 00000000 103:02 27012024 /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
0.01 MB  727ce83fd000-727ce8400000 rw-p 001f6000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.01 MB  727cdb931000-727cdb934000 rw-p 00f30000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.01 MB  727cd2fff000-727cd37ff000 rw-p 00000000 00:00 0
0.01 MB  727cd27fe000-727cd2ffe000 rw-p 00000000 00:00 0
0.01 MB  727cebdd4000-727cebdd6000 rw-p 00038000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.01 MB  727cebdd2000-727cebdd4000 r--p 00036000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.01 MB  727cebd9a000-727cebd9c000 r-xp 00000000 00:00 0 [vdso]
0.01 MB  727cebd92000-727cebd94000 rw-p 00000000 00:00 0
0.01 MB  727cebcc5000-727cebcc7000 r--p 00042000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.01 MB  727cebb7c000-727cebb7e000 rw-p 00000000 00:00 0
0.01 MB  727ceba77000-727ceba79000 r--p 00000000 103:02 27003770 /usr/lib/x86_64-linux-gnu/libz.so.1.3
0.01 MB  727ceba63000-727ceba65000 r--p 00000000 103:02 27006181 /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
0.01 MB  727ceba61000-727ceba63000 rw-p 00000000 00:00 0
0.01 MB  727ceba25000-727ceba27000 r-xp 00001000 103:02 27012176 /usr/lib/x86_64-linux-gnu/libXau.so.6.0.0
0.01 MB  727ceba1e000-727ceba20000 r-xp 00002000 103:02 27012181 /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
0.01 MB  727ceba1c000-727ceba1e000 r--p 00000000 103:02 27012181 /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
0.01 MB  727ceba04000-727ceba06000 rw-p 00203000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.01 MB  727ceb67b000-727ceb67d000 r--p 00000000 103:02 27012643 /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
0.01 MB  727ceb5f9000-727ceb5fb000 r--p 0000f000 103:02 27012186 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
0.01 MB  727ceb5e6000-727ceb5e8000 r--p 00009000 103:02 27012191 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
0.01 MB  727ceb5dd000-727ceb5df000 r--p 00000000 103:02 27012191 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
0.01 MB  727ceb5d1000-727ceb5d3000 r--p 00000000 103:02 27012192 /usr/lib/x86_64-linux-gnu/libXrender.so.1.3.0
0.01 MB  727ceb5cd000-727ceb5cf000 r--p 00008000 103:02 27012179 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
0.01 MB  727ceb5c5000-727ceb5c7000 r--p 00000000 103:02 27012179 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
0.01 MB  727ceb5bd000-727ceb5bf000 r--p 00000000 103:02 27012183 /usr/lib/x86_64-linux-gnu/libXfixes.so.3.1.0
0.01 MB  727ceb59c000-727ceb59e000 r-xp 00002000 103:02 27012954 /usr/lib/x86_64-linux-gnu/libxcb-dri3.so.0.1.0
0.01 MB  727ceb59a000-727ceb59c000 r--p 00000000 103:02 27012954 /usr/lib/x86_64-linux-gnu/libxcb-dri3.so.0.1.0
0.01 MB  727ceb591000-727ceb593000 r--p 00006000 103:02 27012968 /usr/lib/x86_64-linux-gnu/libxcb-xfixes.so.0.0.0
0.01 MB  727ceaf32000-727ceaf34000 r--p 0000d000 103:02 27012929 /usr/lib/x86_64-linux-gnu/libwayland-client.so.0.22.0
0.01 MB  727ceaf22000-727ceaf24000 r--p 0002b000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.01 MB  727ceaebd000-727ceaebf000 r--p 00000000 103:02 27012431 /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
0.01 MB  727ceae6d000-727ceae70000 rw-p 00000000 00:00 0
0.01 MB  727ce99f9000-727ce99fb000 r--p 00033000 103:02 27012407 /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
0.01 MB  727cdc54a000-727cdc551000 rw-p 00000000 00:00 0
0.01 MB  727cdb934000-727cdb937000 rw-p 00000000 00:00 0
0.01 MB  727cd4000000-727cd4021000 rw-p 00000000 00:00 0
0.01 MB  727cd3800000-727cd4000000 rw-p 00000000 00:00 0
0.00 MB  727cebd9c000-727cebd9d000 r--p 00000000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.00 MB  727cebd91000-727cebd92000 rw-p 00003000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  727cebd90000-727cebd91000 r--p 00002000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  727cebd8f000-727cebd90000 r--p 00002000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  727cebd8e000-727cebd8f000 r-xp 00001000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  727cebd8d000-727cebd8e000 r--p 00000000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  727cebd85000-727cebd86000 rw-p 00005000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  727cebd84000-727cebd85000 r--p 00004000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  727cebd83000-727cebd84000 r--p 00004000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  727cebd7f000-727cebd80000 r--p 00000000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  727cebd7e000-727cebd7f000 rw-p 00012000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.00 MB  727cebd7d000-727cebd7e000 r--p 00011000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.00 MB  727cebd6a000-727cebd6b000 rw-s 00000000 00:01 42938 /memfd:state table (deleted)
0.00 MB  727cebd69000-727cebd6a000 rw-s 00000000 00:01 42939 /memfd:state table (deleted)
0.00 MB  727cebd68000-727cebd69000 rw-s 00000000 00:01 42939 /memfd:state table (deleted)
0.00 MB  727cebd67000-727cebd68000 rw-p 0007c000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.00 MB  727cebd66000-727cebd67000 r--p 0007b000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.00 MB  727cebcc7000-727cebcc8000 rw-p 00044000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.00 MB  727cebc81000-727cebc82000 rw-p 000cb000 103:02 27003647 /usr/lib/x86_64-linux-gnu/libfreetype.so.6.20.1
