0.03 MB  7f92004c8000-7f92004cf000 r--p 00000000 103:02 27012960 /usr/lib/x86_64-linux-gnu/libxcb-randr.so.0.1.0
0.03 MB  7f9200476000-7f920047d000 r-xp 00002000 103:02 27012431 /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
0.02 MB  7f9201278000-7f920127e000 r--p 00000000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
0.02 MB  7f9200cbb000-7f9200cc1000 r--p 00014000 103:02 27003770 /usr/lib/x86_64-linux-gnu/libz.so.1.3
0.02 MB  7f92005dd000-7f92005e3000 r-xp 00002000 103:02 27012179 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
0.02 MB  7f92004b3000-7f92004b9000 r-xp 00005000 103:02 27012929 /usr/lib/x86_64-linux-gnu/libwayland-client.so.0.22.0
0.02 MB  7f91ff3a9000-7f91ff3af000 r-xp 00003000 103:02 27003468 /usr/lib/x86_64-linux-gnu/libdrm_amdgpu.so.1.125.0
0.02 MB  7f920110c000-7f9201111000 r--p 00000000 103:02 27001308 /usr/lib/x86_64-linux-gnu/libpng16.so.16.43.0
0.02 MB  7f9201006000-7f9201013000 rw-p 00000000 00:00 0
0.02 MB  7f92005b2000-7f92005b7000 r--p 00000000 103:02 27002257 /usr/lib/x86_64-linux-gnu/libdrm.so.2.125.0
0.02 MB  7f92004cf000-7f92004d4000 r-xp 00007000 103:02 27012960 /usr/lib/x86_64-linux-gnu/libxcb-randr.so.0.1.0
0.02 MB  7f92004ae000-7f92004b3000 r--p 00000000 103:02 27012929 /usr/lib/x86_64-linux-gnu/libwayland-client.so.0.22.0
0.02 MB  7f91eff61000-7f91eff8d000 rw-p 00000000 00:00 0
0.02 MB  7f91eff5c000-7f91eff61000 rw-p 00b5b000 103:02 27018868 /usr/lib/x86_64-linux-gnu/libvulkan_lvp.so
0.02 MB  7f92012f9000-7f92012fd000 r--p 00000000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.02 MB  7f9201015000-7f9201019000 rw-p 00000000 00:00 0
0.02 MB  7f9201000000-7f9201004000 r--p 001ff000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.02 MB  7f9200dfc000-7f9200e00000 rw-p 00139000 103:02 27012174 /usr/lib/x86_64-linux-gnu/libX11.so.6.4.0
0.02 MB  7f9200c1b000-7f9200c1f000 r--p 00000000 103:02 27012323 /usr/lib/x86_64-linux-gnu/libbsd.so.0.12.1
0.02 MB  7f9200b93000-7f9200b97000 rw-s 00000000 00:01 51393 /memfd:state table (deleted)
0.02 MB  7f92005c3000-7f92005c7000 r--p 00011000 103:02 27002257 /usr/lib/x86_64-linux-gnu/libdrm.so.2.125.0
0.02 MB  7f92004f8000-7f92004fc000 r--p 00000000 103:02 27012987 /usr/lib/x86_64-linux-gnu/libzstd.so.1.5.5
0.02 MB  7f9200480000-7f9200484000 r--p 00000000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.02 MB  7f91ff3fa000-7f91ff3fe000 r--p 00028000 103:02 27006194 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
0.02 MB  7f91ff3d2000-7f91ff3d6000 r--p 00000000 103:02 27006194 /usr/lib/x86_64-linux-gnu/libgcc_s.so.1
0.02 MB  7f91ff367000-7f91ff36b000 r--p 0002e000 103:02 27010888 /usr/lib/x86_64-linux-gnu/libtinfo.so.6.4
0.02 MB  7f91ff2fe000-7f91ff302000 r--p 00012000 103:02 27017142 /usr/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so
0.02 MB  7f91fee2f000-7f91fee33000 rw-p 0142e000 103:02 27017206 /usr/lib/x86_64-linux-gnu/libvulkan_intel.so
0.02 MB  7f91eec00000-7f91ef400000 rw-p 00000000 00:00 0
0.02 MB  5ac988e30000-5ac988e34000 r--p 00000000 103:02 668258 /home/grib/projects/BulbaEngine/engine/build/debug/bulba
0.01 MB  7f920130e000-7f9201311000 r-xp 00001000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.01 MB  7f9201308000-7f920130b000 r--p 0000f000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.01 MB  7f9200b7b000-7f9200b7e000 r--p 00000000 103:02 27012186 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
0.01 MB  7f92005d5000-7f92005d8000 r-xp 00002000 103:02 27012183 /usr/lib/x86_64-linux-gnu/libXfixes.so.3.1.0
0.01 MB  7f92004e5000-7f92004e8000 r-xp 00003000 103:02 27012968 /usr/lib/x86_64-linux-gnu/libxcb-xfixes.so.0.0.0
0.01 MB  7f92004e2000-7f92004e5000 r--p 00000000 103:02 27012968 /usr/lib/x86_64-linux-gnu/libxcb-xfixes.so.0.0.0
0.01 MB  7f92004dc000-7f92004df000 r-xp 00003000 103:02 27012966 /usr/lib/x86_64-linux-gnu/libxcb-sync.so.1.0.0
0.01 MB  7f92004d9000-7f92004dc000 r--p 00000000 103:02 27012966 /usr/lib/x86_64-linux-gnu/libxcb-sync.so.1.0.0
0.01 MB  7f92004d4000-7f92004d7000 r--p 0000c000 103:02 27012960 /usr/lib/x86_64-linux-gnu/libxcb-randr.so.0.1.0
0.01 MB  7f920046a000-7f920046d000 rw-p 01069000 103:02 27018866 /usr/lib/x86_64-linux-gnu/libvulkan_intel_hasvk.so
0.01 MB  7f91ff3b3000-7f91ff3b6000 r--p 00000000 103:02 27012414 /usr/lib/x86_64-linux-gnu/libelf-0.190.so
0.01 MB  7f91ff3a6000-7f91ff3a9000 r--p 00000000 103:02 27003468 /usr/lib/x86_64-linux-gnu/libdrm_amdgpu.so.1.125.0
0.01 MB  7f91ff306000-7f91ff309000 r--p 00000000 103:02 27012024 /usr/lib/x86_64-linux-gnu/liblzma.so.5.4.5
0.01 MB  7f91ff2ec000-7f91ff2ef000 r--p 00000000 103:02 27017142 /usr/lib/x86_64-linux-gnu/libVkLayer_MESA_device_select.so
0.01 MB  7f91ff27a000-7f91ff27e000 rw-p 00000000 00:00 0
0.01 MB  7f91ff277000-7f91ff27a000 rw-p 00276000 103:02 27011586 /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.33
0.01 MB  7f91feffc000-7f91fefff000 rw-p 00173000 103:02 27020491 /usr/lib/x86_64-linux-gnu/libvulkan_virtio.so
0.01 MB  7f91fee33000-7f91fee39000 rw-p 00000000 00:00 0
0.01 MB  7f91fd9fd000-7f91fda00000 rw-p 001f6000 103:02 27017148 /usr/lib/x86_64-linux-gnu/libvulkan_gfxstream.so
0.01 MB  7f91f0f31000-7f91f0f34000 rw-p 00f30000 103:02 27020486 /usr/lib/x86_64-linux-gnu/libvulkan_nouveau.so
0.01 MB  7f91ecbfe000-7f91ed3fe000 rw-p 00000000 00:00 0
0.01 MB  7f9201362000-7f9201364000 rw-p 00038000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.01 MB  7f9201360000-7f9201362000 r--p 00036000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.01 MB  7f9201328000-7f920132a000 r-xp 00000000 00:00 0 [vdso]
0.01 MB  7f9201320000-7f9201322000 rw-p 00000000 00:00 0
0.01 MB  7f9201253000-7f9201255000 r--p 00042000 103:02 27005443 /usr/lib/x86_64-linux-gnu/libglfw.so.3.3
0.01 MB  7f920110a000-7f920110c000 rw-p 00000000 00:00 0
0.01 MB  7f920101f000-7f9201021000 rw-p 00000000 00:00 0
0.01 MB  7f920101a000-7f920101c000 r-xp 00001000 103:02 27012176 /usr/lib/x86_64-linux-gnu/libXau.so.6.0.0
0.01 MB  7f9201004000-7f9201006000 rw-p 00203000 103:02 27029207 /usr/lib/x86_64-linux-gnu/libc.so.6
0.01 MB  7f9200ca7000-7f9200ca9000 r--p 00000000 103:02 27003770 /usr/lib/x86_64-linux-gnu/libz.so.1.3
0.01 MB  7f9200c93000-7f9200c95000 r--p 00000000 103:02 27006181 /usr/lib/x86_64-linux-gnu/libbz2.so.1.0.4
0.01 MB  7f9200c33000-7f9200c35000 r-xp 00002000 103:02 27012181 /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
0.01 MB  7f9200c31000-7f9200c33000 r--p 00000000 103:02 27012181 /usr/lib/x86_64-linux-gnu/libXdmcp.so.6.0.0
0.01 MB  7f9200c0c000-7f9200c0e000 r--p 00000000 103:02 27012643 /usr/lib/x86_64-linux-gnu/libmd.so.0.1.0
0.01 MB  7f9200b8a000-7f9200b8c000 r--p 0000f000 103:02 27012186 /usr/lib/x86_64-linux-gnu/libXi.so.6.1.0
0.01 MB  7f92005fc000-7f92005fe000 r--p 00009000 103:02 27012191 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
0.01 MB  7f92005f3000-7f92005f5000 r--p 00000000 103:02 27012191 /usr/lib/x86_64-linux-gnu/libXrandr.so.2.2.0
0.01 MB  7f92005e7000-7f92005e9000 r--p 00000000 103:02 27012192 /usr/lib/x86_64-linux-gnu/libXrender.so.1.3.0
0.01 MB  7f92005e3000-7f92005e5000 r--p 00008000 103:02 27012179 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
0.01 MB  7f92005db000-7f92005dd000 r--p 00000000 103:02 27012179 /usr/lib/x86_64-linux-gnu/libXcursor.so.1.0.2
0.01 MB  7f92005d3000-7f92005d5000 r--p 00000000 103:02 27012183 /usr/lib/x86_64-linux-gnu/libXfixes.so.3.1.0
0.01 MB  7f92004f3000-7f92004f5000 r-xp 00002000 103:02 27012954 /usr/lib/x86_64-linux-gnu/libxcb-dri3.so.0.1.0
0.01 MB  7f92004f1000-7f92004f3000 r--p 00000000 103:02 27012954 /usr/lib/x86_64-linux-gnu/libxcb-dri3.so.0.1.0
0.01 MB  7f92004e8000-7f92004ea000 r--p 00006000 103:02 27012968 /usr/lib/x86_64-linux-gnu/libxcb-xfixes.so.0.0.0
0.01 MB  7f92004bb000-7f92004bd000 r--p 0000d000 103:02 27012929 /usr/lib/x86_64-linux-gnu/libwayland-client.so.0.22.0
0.01 MB  7f92004ab000-7f92004ad000 r--p 0002b000 103:02 27006101 /usr/lib/x86_64-linux-gnu/libexpat.so.1.9.1
0.01 MB  7f9200474000-7f9200476000 r--p 00000000 103:02 27012431 /usr/lib/x86_64-linux-gnu/libffi.so.8.1.4
0.01 MB  7f920046d000-7f9200470000 rw-p 00000000 00:00 0
0.01 MB  7f91ff39f000-7f91ff3a1000 r--p 00033000 103:02 27012407 /usr/lib/x86_64-linux-gnu/libedit.so.2.0.72
0.01 MB  7f91f1b4a000-7f91f1b51000 rw-p 00000000 00:00 0
0.01 MB  7f91f0f34000-7f91f0f37000 rw-p 00000000 00:00 0
0.01 MB  7f91ed3ff000-7f91edbff000 rw-p 00000000 00:00 0
0.01 MB  7f91ec3fd000-7f91ecbfd000 rw-p 00000000 00:00 0
0.01 MB  7f91e8000000-7f91e8021000 rw-p 00000000 00:00 0
0.00 MB  7f920132a000-7f920132b000 r--p 00000000 103:02 27029204 /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
0.00 MB  7f920131f000-7f9201320000 rw-p 00003000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7f920131e000-7f920131f000 r--p 00002000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7f920131d000-7f920131e000 r--p 00002000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7f920131c000-7f920131d000 r-xp 00001000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7f920131b000-7f920131c000 r--p 00000000 103:02 27024351 /usr/libexec/coreutils/libstdbuf.so
0.00 MB  7f9201313000-7f9201314000 rw-p 00005000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  7f9201312000-7f9201313000 r--p 00004000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  7f9201311000-7f9201312000 r--p 00004000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  7f920130d000-7f920130e000 r--p 00000000 103:02 27012200 /usr/lib/x86_64-linux-gnu/libXxf86vm.so.1.0.0
0.00 MB  7f920130c000-7f920130d000 rw-p 00012000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.00 MB  7f920130b000-7f920130c000 r--p 00011000 103:02 27012182 /usr/lib/x86_64-linux-gnu/libXext.so.6.4.0
0.00 MB  7f92012f8000-7f92012f9000 rw-s 00000000 00:01 51392 /memfd:state table (deleted)
0.00 MB  7f92012f7000-7f92012f8000 rw-s 00000000 00:01 51393 /memfd:state table (deleted)
0.00 MB  7f92012f6000-7f92012f7000 rw-s 00000000 00:01 51393 /memfd:state table (deleted)
0.00 MB  7f92012f5000-7f92012f6000 rw-p 0007c000 103:02 27012919 /usr/lib/x86_64-linux-gnu/libvulkan.so.1.3.275
